reino,filo,clase,orden,familia,genero,especie,latitud,longitud,fecha,mes,anio,total_individuos,cluster_dbscan,clusterkmean,clusterkmean_amb
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.538744,-76.856289,2015-11-29,11,2015,1,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,trivittata,-2.539944,-70.251222,2013-09-30,9,2013,1,0,6,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.540462,-79.357034,1998-12-20,12,1998,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.540556,-76.85917,2013-01-11,1,2013,1,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,hahneli,-2.540556,-76.85917,2013-01-16,1,2013,1,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.540556,-76.85917,2013-01-14,1,2013,1,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,parvula,-2.540556,-76.85917,2013-01-17,1,2013,1,1,4,7
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Ameerega,bilinguis,-2.541381,-76.859024,2011-08-02,8,2011,1,1,4,7
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.54762,-78.69884,2005-03-23,3,2005,1,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.55,-78.8667,1986-01-20,1,1986,2,1,8,5
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.55,-78.8667,1982-09-20,9,1982,2,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Hyloxalus,vertebralis,-2.550279,-78.70306,2010-11-04,11,2010,4,1,8,5
Animal,Chordata,Amphibia,Anura,Dendrobatidae,Epipedobates,machalilla,-2.553669,-79.36424,1998-12-20,12,1998,2,1,8,5
