grupo_geografico,latitud,longitud,total_individuos,fecha,anio,mes,especie,reino,filo,clase,orden,familia,genero
76,-3.325723,-79.240466,1,2018-03-13,2018,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
77,-3.32859,-79.76829,2,2015-10-15,2015,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
78,-3.329266,-79.60921,5,2001-03-01,2001,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
79,-3.33432,-79.44149,9,2012-03-09,2012,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
80,-3.342972,-79.41458,10,2008-01-11,2008,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
81,-3.3445999275,-79.334182305,4,2010-11-01,2010,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
82,-3.344863889,-79.29719167,7,2011-05-01,2011,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
83,-3.347514,-79.724308,1,2023-09-01,2023,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
84,-3.34996,-79.59738,63,2012-03-14,2012,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
85,-3.35320725,-79.5813375,16,2008-01-11,2008,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
86,-3.361364,-79.232123,1,2018-03-13,2018,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
87,-3.36935,-79.645875,1,2023-02-16,2023,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
88,-3.369442,-80.015448,1,2009-04-29,2009,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
89,-3.370646,-79.73819,1,2023-02-10,2023,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
